medicine,uses,side_effects,dosage
Paracetamol,Fever and pain relief,"Nausea, rash, dizziness",500mg every 4–6 hours
Crocin,Fever treatment,Mild stomach upset,500mg twice daily
Ibuprofen,Pain and inflammation relief,"Acidity, nausea",400mg after meals
Aspirin,Blood thinning and pain relief,"Bleeding risk, stomach irritation",75mg daily
Cetirizine,Allergy treatment,"Drowsiness, dry mouth",10mg daily
Amoxicillin,Bacterial infection treatment,"Diarrhea, nausea",500mg every 8 hours
Azithromycin,Respiratory infection treatment,"Vomiting, stomach pain",500mg once daily
Metformin,Type 2 diabetes control,"Bloating, diarrhea",500mg twice daily
Pantoprazole,Acidity and GERD treatment,"Headache, nausea",40mg before breakfast
Dolo 650,Fever and body pain relief,Rare allergic reaction,650mg every 6 hours
